"siren","pays_partenaire","annee","type_relation","taux_detention","flux_equity","flux_pret_intragroupe","stock_ide"
"648451828","US",2023,"Partenaire stratégique",0.4712,5846.9,33808.4,472158.88
"307325218","JP",2024,"Succursale",0.1775,236724.45,-35223.38,425534.83
"586146491","GB",2025,"Joint Venture",0.356,-110694.32,-29179.46,743525.52
"474486842","JP",2023,"Autre",0.41,128095.48,21968.77,20488
"694567969","HK",2024,"Joint Venture",0.7937,-247265.14,-76045,708597.57
"405807560","BE",2024,"Partenaire stratégique",0.976,-101857.89,-44134.58,463891.55
"410125118","PL",2025,"Maison Mère",0.4788,49718.91,-98704.23,601343.72
"719557960","GB",2025,"Maison Mère",0.5027,-4690.87,-28614.83,577483.48
"676822243","DE",2023,"Maison Mère",0.7641,147833.72,-8316.31,495083.64
"877640240","IN",2023,"Partenaire stratégique",0.5253,-105467.13,111013.41,454285.22
"676822243","DE",2023,"Autre",0.8082,-125103.29,-153647.07,235335.32
"767262414","IN",2024,"Autre",0.8525,-7309.72,93051.36,9383.78
"861172712","AU",2024,"Maison Mère",0.6135,48106.73,-104172.73,480876.04
"760373229","HK",2025,"Autre",0.4815,54774.63,13094.21,371347.56
"405807560","CA",2024,"Autre",0.7398,222117.03,-45519.23,606514.57
"524232458","IT",2025,"Autre",0.1175,-395605.04,-66943.73,442947.25
"782062519","CN",2025,"Autre",0.0921,40361.66,-639.44,639515.66
"403952015","IN",2023,"Partenaire stratégique",0.4765,-76043.27,71254.79,627525.79
"429562558","GB",2024,"Succursale",0.4088,-246484.27,127105.88,689749.2
"815697976","ZA",2023,"Partenaire stratégique",0.8503,-50997.01,-75112.98,292152.31
"767464543","BR",2024,"Partenaire stratégique",0.2386,12287.69,-106049.32,413209.21
"307325218","CH",2025,"Maison Mère",0.339,-53745.03,99827.27,783987.22
"703507416","JP",2025,"Autre",0.5394,-398621.24,12582.63,318519.61
"503082497","PL",2023,"Autre",0.2468,120771.52,-78744.76,558948.23
"685664947","BR",2023,"Maison Mère",0.8611,-48088.9,-106022.9,441026.14
"815697976","DE",2025,"Autre",0.5533,-269959.34,-69092.62,492155.71
"657370909","CH",2024,"Succursale",0.5605,-205873.3,-208745.96,67928.12
"767464543","MX",2024,"Joint Venture",0.6273,-9763.29,46364.48,697350.76
"763468302","ZA",2024,"Filiale",0.6499,177008.54,-12339.48,470099.54
"746566713","ES",2023,"Partenaire stratégique",0.8404,-106107.22,67481.95,604546.57
"474486842","PL",2025,"Joint Venture",0.5792,-249284.29,-124473.43,441765.97
"760373229","NL",2025,"Filiale",0.174,-44263.96,12671.02,890837.27
"591828838","GB",2025,"Joint Venture",0.7671,25785.01,-12651.92,499636.52
"307325218","NL",2024,"Partenaire stratégique",0.941,207648.33,117987.75,386501.21
"356174702","BE",2024,"Autre",0.277,321123.39,50132.2,379659.98
"695390113","IT",2024,"Joint Venture",0.7502,-212534.84,-69081.95,712720.39
"330600273","GB",2023,"Succursale",0.2435,-78183.82,15587.31,290623.08
"793532236","MX",2023,"Maison Mère",0.5692,242156.18,-7709.98,492157.99
"700998588","BE",2025,"Maison Mère",0.5505,135485.5,109321.88,421184.71
"837130741","NL",2024,"Filiale",0.0717,-98217.32,-65506.09,610579.99
"474525303","BE",2023,"Autre",0.0912,49563.92,61459.73,700785.07
"407242734","IT",2023,"Maison Mère",0.5625,-157222.06,60771.6,323085.3
"416169572","SG",2025,"Maison Mère",0.657,-19362.72,89185.91,292352.53
"702662157","ZA",2025,"Maison Mère",0.4392,83154.59,-73999.8,653668.02
"521138762","DE",2024,"Partenaire stratégique",0.6215,54412.02,-41865.64,546168.82
"714974780","JP",2024,"Filiale",0.3904,-37573.26,-56751.64,210533.79
"648451828","JP",2025,"Filiale",0.715,11458.84,-63092.81,777735.81
"672446413","ZA",2023,"Partenaire stratégique",0.1299,-279454.71,-25036.15,351471.62
"476518783","CA",2025,"Partenaire stratégique",0.7603,-132863.64,-125679.24,1129480.52
"719557960","SE",2024,"Filiale",1.47728404184105,126014.21,-193408.95,928091.45
"685664947","BR",2025,"Partenaire stratégique",0.1197,-160352.91,80355.56,362771
"581392676","NL",2025,"Partenaire stratégique",0.906,423048.09,104970.7,357057.25
"503421033","SG",2025,"Maison Mère",0.4197,121929.41,-10143.01,684417.8
"760373229","SG",2025,"Succursale",0.619,-71336.29,-91118.33,389117.58
"464386132","IN",2023,"Maison Mère",0.1311,-21019.87,-26882.98,560227.41
"518566719","BE",2023,"Succursale",0.7828,-76016.71,-62319.98,798063.47
"447760734","JP",2024,"Joint Venture",0.3745,-111732.11,-103274.18,480283.98
"509623141","NL",2024,"Joint Venture",0.1129,105842.84,117758.4,884899.19
"464386132","IN",2024,"Filiale",0.1982,-18284.53,-5571.72,343016.16
"614220298","SE",2025,"Joint Venture",0.3495,81327.09,-42965.11,314591.1
"477037712","CH",2025,"Maison Mère",0.1204,-95187.84,10877.8,640004.49
"676822243","GB",2023,"Joint Venture",0.0937,-72352.7,-64467.7,552199.41
"414429749","HK",2023,"Autre",0.3282,65898.52,56425.07,344435.19
"440608028","ES",2023,"Filiale",0.2218,-37794.27,-11830.79,35579.55
"307325218","IN",2024,"Filiale",0.4592,17765.54,-853.42,281580.96
"723490657","CA",2023,"Maison Mère",0.6825,151945.7,80366.43,660731.46
"518566719","GB",2025,"Autre",0.184,22977.98,-32688.57,419547.28
"464357789","ZA",2023,"Autre",0.6587,171669.9,142488.41,199993.32
"509623141","NL",2024,"Maison Mère",0.9549,298028.04,68648.91,731995.8
"859293323","JP",2023,"Joint Venture",0.9556,-207804.85,15775.35,698735.53
"307325218","BE",2023,"Maison Mère",0.2676,218760.11,-48052.74,820643.09
"719557960","JP",2024,"Partenaire stratégique",0.9442,161437.57,-22010.56,605821.04
"702662157","CA",2025,"Partenaire stratégique",0.325,56444.88,-76226.96,954430.31
"622525805","NL",2024,"Joint Venture",0.2515,-183782.2,14327.08,710339.02
"793532236","CA",2024,"Maison Mère",0.2657,420645.29,-131523.95,706890.41
"723490657","HK",2023,"Maison Mère",0.3642,-9490.34,18234.01,940561.08
"676822243","ZA",2023,"Partenaire stratégique",0.6117,256072.5,62479.46,427373.52
"373676741","SG",2025,"Succursale",0.1924,-117488.72,52023.36,543205.34
"309150406","US",2025,"Joint Venture",0.7034,-4796.99,25610.84,743377.02
"558882815","US",2024,"Joint Venture",0.1264,-170689.48,39989.89,420495.31
"414415144","AU",2023,"Joint Venture",0.1222,-54826.82,60797.27,822959.56
"663658596","ES",2024,"Partenaire stratégique",0.4847,-91664.54,-17042.98,413043.59
"37565796","IT",2025,"Partenaire stratégique",0.6216,20946.85,170453.6,523043.31
"586146491","SG",2023,"Autre",0.0601,71114.08,56065.35,673275.17
"332637911","CA",2025,"Partenaire stratégique",0.8586,62748.23,-56969.93,849439.09
"560040156","PL",2025,"Succursale",0.6622,-53855.22,-90405.49,723399.54
"877218337","DE",2025,"Filiale",0.4407,-171027.73,31767.94,422782.46
"393166433","US",2025,"Autre",0.0667,22886.91,137070.93,186021.02
"410125118","SE",2023,"Succursale",0.6085,115127.01,-44767.55,544218.19
"622740591","BE",2024,"Partenaire stratégique",0.2508,-13010.93,189979.32,100003.6
"720493468","PL",2023,"Filiale",0.9402,102069.87,9448.42,235802.09
"723490657","IN",2025,NA,0.2925,7649.56,-107296.81,957155.53
"840232670","SE",2023,"Succursale",0.789,-67220.26,-9483.92,344647.69
"477037712","SG",2024,"Succursale",0.4268,-81588.21,87065.26,664868.92
"616907383","CN",2024,"Succursale",0.0579,30614.98,100509.09,396945.16
"332637911","JP",2023,"Joint Venture",0.7273,-97311.78,79855.07,478693.67
"330600273","CA",2024,"Autre",0.9688,201612.35,70987.47,286997.43
"749965780","SE",2023,"Autre",0.445,-149118.44,-11860.37,455053.87
"309150406","HK",2024,"Succursale",0.3142,-188809.73,-129740.95,682212.26
"590726816","IN",2024,NA,0.0809,73106.21,-39712.28,821491.29
"557866768","SG",2023,"Autre",0.6343,90691.6,54775.76,400735.35
"721548039","ZA",2023,"Maison Mère",0.5882,-376749.84,-9293.83,308763.97
"462492166","IT",2023,"Partenaire stratégique",0.5089,86092.03,11466.7,509799.54
"673251982","ZA",2024,"Autre",0.8192,210441.84,69801.33,54336.07
"836586521","US",2024,"Autre",0.4296,100553.8,61271.38,212316.1
"622525805","MX",2023,"Joint Venture",0.3517,-9257.72,52157.03,540541.27
"714974780","JP",2024,"Partenaire stratégique",0.2159,-19103.59,-89793.74,880754.17
"403952015","CN",2024,"Joint Venture",0.4922,-107784.62,-26780.53,452542.16
"672446413","NL",2023,"Partenaire stratégique",0.4086,88565.26,15469.19,611071.44
"508162482","AU",2023,"Maison Mère",0.3679,-7959.54,-6767.76,670751.92
"688560550","BR",2024,"Partenaire stratégique",0.1711,165761.55,-71367.69,364629.35
"332637911","MX",2024,"Autre",0.6307,17952.66,-156539.93,467798.83
"558882815","JP",2025,"Maison Mère",0.2459,100061.31,-67187.66,389767.96
"749965780","AU",2023,"Maison Mère",0.562,-14955.88,77942.22,598034.19
"859293323","BE",2023,"Filiale",0.3231,-47653.12,-26023.31,601327.84
"695390113","DE",2024,"Maison Mère",0.947,-3207.6,100264.85,415762.25
"859293323","GB",2025,"Filiale",0.9795,36526.39,116855.8,424394.24
"440608028","SE",2024,"Succursale",0.2667,-100761.33,-12512.63,130510.73
"330600273","SG",2025,"Maison Mère",0.8978,19389.76,47498.38,491591.78
"749965780","CN",2023,"Maison Mère",0.6228,-55217.67,-65924.07,478514.18
"702445345","HK",2023,"Joint Venture",0.6539,120686.04,-5243.58,653954.49
"763799764","HK",2025,"Maison Mère",0.2606,26181.09,-51474.82,349931.51
"884061319","CH",2024,"Joint Venture",0.4639,162868.11,-80611.47,384999.51
"405807560","JP",2024,"Maison Mère",0.3438,314244.06,-35097.69,585125.09
"763799764","CH",2023,"Joint Venture",0.1133,260453.18,-41470.16,91380.37
"516076352","PL",2025,"Partenaire stratégique",0.7618,77697.56,-6202.32,563980.11
"521138762","MX",2025,"Succursale",0.3354,107437.57,-115196.12,700154.23
"685807491","NL",2025,"Maison Mère",0.8836,-174748.32,48699.01,579803.55
"393166433","IT",2023,"Autre",0.2146,-171193.94,-5370.42,370880.97
"764929686","SE",2023,"Autre",0.1032,-94987.52,-190071.66,836561.83
"807180823","BR",2023,"Maison Mère",0.9419,196560.57,-38044.79,837625.29
"625605306","DE",2023,"Filiale",0.7867,200980.22,34710.77,667733.47
"581392676","AU",2025,"Joint Venture",0.41,79893,-146027.35,845625.04
"363488763","JP",2024,"Partenaire stratégique",0.3416,238615.28,68092.97,905082.08
"608751238","AU",2023,"Filiale",0.554,196781.23,65102.85,848146.01
"647310851","MX",2024,"Partenaire stratégique",0.1403,-17409.36,-122364.31,538620.3
"503082497","SG",2023,"Filiale",0.8783,116232.32,176962.78,411537.56
"657370909","CH",2025,"Succursale",0.4285,-53339.44,-38494.45,548555.81
"663658596","MX",2024,"Joint Venture",0.787,-175102.46,66975.97,646862.51
"703507416","ZA",2025,"Joint Venture",0.2946,118942.11,122588.8,404088.79
"414429749","CA",2024,"Succursale",0.6108,-135849.68,167527.2,838605.9
"767464543","CN",2025,"Autre",0.7241,40306.89,-36877.08,678910.43
"382709835","HK",2025,"Partenaire stratégique",0.6253,-10096.98,-114197.09,745431.66
"683870524","DE",2025,"Partenaire stratégique",0.4665,90614.33,-36525.49,790639.36
"581392676","CH",2025,"Maison Mère",0.9782,-159176.35,27577.44,364701.25
"837130741","ES",2024,"Autre",0.5513,8691.54,9649.75,694945.41
"347556303","CA",2024,"Maison Mère",0.3793,172592.74,24769.88,320265.33
"616907383","BE",2024,"Joint Venture",0.0912,-146667.12,13692.52,850219.4
"691448741","BE",2025,"Autre",0.3311,114269.04,28013.27,534161.12
"330600273","DE",2023,"Joint Venture",0.1867,-149222.31,-57412.66,240484.75
"464386132","CA",2024,"Succursale",0.8877,-171672.86,101647.39,40180.74
"847381352","SE",2023,"Succursale",0.8943,-135229.4,-141942.83,734684.48
"767464543","SG",2025,"Filiale",0.5173,10261.67,78861.53,996807.21
"719557960","SE",2023,"Maison Mère",0.3462,10707.03,14009.63,737264.14
"518566719","IT",2025,"Filiale",0.4465,-55996.08,7911.95,278501.58
"815697976","JP",2025,"Filiale",0.9393,-66661.57,81759.73,344214.93
"338158626","ZA",2025,"Succursale",0.738,56696.6,-113959.05,725304.07
"600444026","MX",2025,"Partenaire stratégique",0.9071,-102061.6,83761.33,416634.33
"782062519","CN",2023,"Autre",0.3415,127025.46,78628.16,279641.37
"516076352","ZA",2023,"Filiale",0.2199,-338704.58,63466.73,518754.58
"474486842","HK",2025,"Succursale",0.1037,-250787.85,-87407.77,237051.55
"363488763","US",2023,"Joint Venture",0.528,221250.38,109032.81,593470.1
"746566713","PL",2023,"Partenaire stratégique",0.2643,174036.49,154033.21,200870.28
"315788838","AU",2025,"Succursale",0.3773,116889.14,-918.54,842274.75
"647310851","BR",2023,"Joint Venture",0.6911,-171269.78,-101095.29,188303.58
"464357789","SG",2024,"Joint Venture",0.4618,-107559.05,-156531.68,456840.28
"521138762","IT",2023,"Partenaire stratégique",0.9302,-43830.08,-28239.36,564730
"744461512","ES",2025,"Maison Mère",0.2521,-154083.3,64534.64,752660.6
"433935973","BE",2024,"Joint Venture",0.3964,-90014.62,27777.01,268236.82
"877640240","AU",2024,"Joint Venture",0.0991,-59269.72,101351.81,775586.3
"433935973","DE",2023,"Succursale",0.1699,-337989.99,-46532.65,425970.86
"723490657","DE",2024,"Filiale",0.2849,-68615.04,-141753.58,386701.18
"884061319","CH",2024,"Succursale",0.9285,81544.24,-79641.53,517679.91
"590726816","JP",2023,"Filiale",0.1019,35579.73,-96459.51,438176.23
"590726816","DE",2024,"Joint Venture",0.3211,170999.83,25105.82,213850.04
"474486842","HK",2024,"Maison Mère",0.5541,-123947.63,58535.15,196478.37
"714974780","SE",2023,"Filiale",0.6276,133564.97,117926.65,801041.42
"622740591","AU",2025,"Maison Mère",0.6134,33557.23,-15679.81,390134.98
"744461512","ZA",2025,"Succursale",0.6795,128529.4,1006.81,120763.47
"393166433","GB",2024,"Succursale",0.7498,33950.33,-27925.24,852286.06
"579634961","CN",2025,"Autre",0.6358,-15254.16,-23844.59,452814.23
"702662157","JP",2024,"Succursale",0.3911,27299.59,-56570.11,924150.75
"410125118","AU",2023,"Partenaire stratégique",0.6814,-108896.34,134685.95,241443.05
"700998588","MX",2023,"Partenaire stratégique",0.838,173514.24,32092.64,310529.27
"763799764","ZA",2023,"Maison Mère",0.3976,-197102.3,58105.06,770737.02
"765787874","SG",2025,"Maison Mère",0.1788,34010.47,138194.9,760116.93
"884061319","CH",2025,"Filiale",0.7578,-179696.91,-196958.9,120852.49
"382709835","ES",2024,"Maison Mère",0.3364,-55150.61,21850.42,81509.61
"464357789","DE",2024,"Joint Venture",0.635,-196657.85,59498.16,553689.54
"837130741","ZA",2025,"Autre",0.3188,49193.91,73241.51,658532
"474486842","ZA",2024,"Partenaire stratégique",0.0998,-243553.51,85295.52,496697.81
"760373229","MX",2025,"Autre",0.1095,-177735,-44064.86,782024.18
"689511328","US",2024,"Succursale",0.8351,80537.52,-42152.78,790473.63
"557866768","HK",2023,"Maison Mère",0.2738,82413.53,-159017.31,264817.52
"88416413","CA",2024,"Partenaire stratégique",0.782,-182755.87,-78517.3,445205.38
"836586521","AU",2024,"Autre",0.5032,-51846.2,49907.93,273501.37
"332637911","BR",2024,"Autre",0.573,-120616.04,-69445.46,267975.21
"525722212","HK",2024,"Autre",0.0556,-85256.34,-23961.18,438015.61
"347556303","CH",2025,"Joint Venture",0.7809,-136516.33,189119.45,154385.88
"698773401","BR",2023,"Joint Venture",0.5571,-57247.35,-121861.97,785499.48
"765787874","US",2024,"Filiale",0.6332,-153869.31,-30831.23,588137.68
"407242734","ES",2024,"Succursale",0.7151,-18029.05,25053.24,477886.46
"393360074","CA",2025,"Autre",0.3974,-255284.04,19656.17,611459.31
"701750464","PL",2023,"Joint Venture",0.717,-53483.9,-18428.34,280231.18
"518566719","BR",2024,"Filiale",0.259,341166.95,-43177.15,841070.03
"503082497","HK",2024,"Filiale",0.8165,-66063.58,131018.26,482043.68
"429562558","AU",2023,"Succursale",0.3431,103291.66,-3500.58,436177.18
"379596645","JP",2024,"Succursale",0.1571,99679.43,-132362.78,48724.99
"700998588","BE",2023,"Joint Venture",0.6918,-482469.18,-153891.96,1065157.61
"508162482","DE",2023,"Joint Venture",0.2582,182440.78,28041.7,311066.77
"509623141","SG",2023,"Joint Venture",0.7048,-84756.18,6573.65,605708.01
"405807560","GB",2025,"Succursale",0.9366,12799.9,15171.32,807.57
"691448741","CA",2023,"Succursale",0.2536,-24026.08,67727.51,700831.13
"688560550","CH",2023,"Maison Mère",0.39,1514.87,-27724.12,868004.31
"407242734","ES",2024,"Succursale",0.7876,286553.48,92090.94,643944.94
"703507416","CH",2025,"Partenaire stratégique",0.8017,78343.83,-69646.88,486668.59
"859293323","BE",2025,"Autre",0.2126,-77722.29,200014.77,1113784.97
"797676830","IN",2024,"Succursale",0.6058,-185933.24,-61529.11,283887.61
"700998588","MX",2023,"Partenaire stratégique",0.3873,-134997.91,-48244.05,353402.65
"896319729","CA",2024,"Maison Mère",0.3575,141768.1,-29636.35,453280.87
"407154879","GB",2025,"Joint Venture",0.7049,-69257.73,-20939.95,374920.72
"767262414","ES",2025,"Succursale",0.974,-90958.8,142027.15,84034.19
"720493468","BR",2023,"Filiale",0.3939,-135330.74,-15357.31,726642.71
"88416413","US",2025,"Maison Mère",0.848,-212364.61,-12479.96,591845.91
"861172712","BR",2023,"Partenaire stratégique",0.8948,-47434.82,109345.94,674385.38
"462492166","IT",2025,"Autre",0.2019,-81516.6,-100474.97,361052.25
"723490657","IN",2025,"Filiale",0.3404,-63378.02,-92549.99,410518.9
"683870524","ZA",2025,"Filiale",0.5813,-230701.65,87367.26,787299.07
"702662157","BR",2025,"Maison Mère",0.7914,107763.81,-73933.79,538972.55
"579634961","BE",2025,"Maison Mère",0.4584,-105616.11,25638.5,634991.01
"469431876","BE",2025,"Maison Mère",0.7132,-164621.97,20243.63,456181.26
"433935973","HK",2023,"Succursale",0.8095,-630.42,127851.96,918079.67
"579634961","NL",2025,"Maison Mère",0.3706,118994.35,-20586.85,368723.44
"591828838","JP",2024,"Partenaire stratégique",0.2883,133054.3,-58865.43,435018.91
"647310851","AU",2025,"Partenaire stratégique",0.4906,-306298.08,26466.62,1143342.05
"586146491","BR",2024,"Autre",0.5138,-196084.51,-23191.87,598546.41
"332637911","JP",2024,"Autre",0.4559,-20815.26,119500.13,481024.3
"581392676","HK",2024,"Succursale",0.8713,-162650.4,-330.16,472582.85
"403952015","HK",2023,"Autre",0.9423,-143946.43,34888.15,505726.96
"354223695","JP",2023,"Filiale",0.7915,-230370.86,-94806.54,376280.72
"716364994","DE",2023,"Autre",0.1835,-98012.46,37436.62,896641.29
"474486842","BR",2023,"Joint Venture",0.9741,384451.88,63249.29,796473.13
"503082497","JP",2024,"Filiale",0.2653,86070.15,-25942.46,506453.51
"509623141","JP",2024,"Joint Venture",0.2431,-31774.09,-147163.7,777015.51
"379596645","ZA",2023,"Maison Mère",0.5305,37460.52,14077.53,557574.42
"558882815","AU",2025,"Partenaire stratégique",0.4444,129617.46,-33110.42,442323.04
"622525805","MX",2025,"Partenaire stratégique",0.2468,2144.19,34570.26,99056.12
"440873661","HK",2025,"Succursale",0.9536,-35743.33,-53840.22,510463.53
"837130741","CH",2025,"Partenaire stratégique",0.9576,-66162.72,-87574.23,533988.76
"836586521","US",2025,"Filiale",0.338,-127363.78,-96407.16,260536.67
"405807560","NL",2025,"Succursale",0.845,93003.62,19955.68,550704.58
"533673301","ES",2024,"Succursale",0.3927,84461.63,34339.78,456253.71
"576361912","CA",2023,"Autre",0.8736,-242092.33,47550.95,495409.87
"307325218","SG",2099,"Filiale",0.1387,-3634.02,57633.33,256330.32
"533673301","NL",2025,"Partenaire stratégique",0.2906,197973.06,-32557.99,481615.58
"696944942","SG",2023,"Joint Venture",0.0618,5147.62,48321.29,756575.96
"588475975","IT",2024,"Maison Mère",0.2271,-155504.94,-13378.78,579977.53
"347556303","DE",2023,"Filiale",0.0955,136570.25,87980.79,350604.22
"576361912","DE",2023,"Maison Mère",0.1427,-220862.55,-53707.4,177229.28
"476535691","AU",2025,"Filiale",0.3098,100509.9,109748.33,247546.16
"503082497","GB",2023,"Partenaire stratégique",0.5167,-148343.85,17153.66,163641.92
"703507416","ZA",2024,"Partenaire stratégique",0.2578,-37841.08,-72320.47,649509.48
"797676830","IT",2025,"Joint Venture",0.4296,74588.1,-7123.63,136495.9
"847381352","GB",2025,"Filiale",0.8549,122729.58,64465.96,154149.92
"464357789","SE",2025,"Maison Mère",0.1705,-63802.87,-112665.51,627960.77
"403952015","HK",2025,"Succursale",0.9951,59658.95,-35321.5,617771.24
"309150406","PL",2023,"Joint Venture",0.2641,-66228.48,19160.8,561797.18
"421210989","CH",2023,"Maison Mère",0.7121,124479.71,-74830.68,322498.97
"637666647","MX",2024,"Filiale",0.8703,-30616.78,-76245.57,597101.14
"416169572","GB",2024,"Joint Venture",0.3401,248156.23,-4856.86,206589.34
"440608028","CA",2023,"Partenaire stratégique",0.3594,-7475.36,-55982.33,415848.25
"630180145","HK",2025,"Partenaire stratégique",0.5678,14382.73,18825.93,634688.46
"861172712","ZA",2023,"Succursale",0.6936,-36078.7,66398.74,207726.21
"688560550","MX",2025,"Autre",0.7898,14506.53,14560.87,312282.24
"763799764","SG",2025,"Autre",0.4726,-144489.47,21585.78,368019.36
"716364994","GB",2023,"Filiale",0.1164,86268.46,111034.62,608241.26
"429562558","SE",2024,"Maison Mère",0.0738,-242775.73,-38015.89,147546.11
"782062519","CA",2023,"Partenaire stratégique",0.474,50403.56,43699.99,123642.73
"608751238","BR",2025,"Maison Mère",0.9845,-276983.4,-36401.02,441434.95
"629877872","GB",2023,"Joint Venture",0.6369,-100310.13,-36561.89,327667.88
"407242734","BE",2025,"Filiale",0.7607,167018.42,-10871.39,846372.99
"622740591","BE",2025,"Partenaire stratégique",0.7746,62786.66,-122523.15,643986.14
