"id_transaction","siren","periode","pays_contrepartie","type_flux","nature_service","montant_eur","devise_origine"
"TRX_000053","464357789","2025-08","CH","Import","Logistique",18048.3,"USD"
"TRX_000054","683870524","2023-03","BE","Export","Services informatiques",74929.48,"EUR"
"TRX_000055","892617147","2025-08","BE","Export","Support technique",13498.14,"EUR"
"TRX_000056","347556303","2023-09","AU","Export","Fret",128112.62,"USD"
"TRX_000057","508284398","2024-09","HK","Import","Logistique",34711.44,"GBP"
"TRX_000058","524232458","2024-04","MX","Export","Consulting",212350.08,"USD"
"TRX_000059","877640240","2024-01","IN","Export","Services informatiques",60452.23,"GBP"
"TRX_000060","695390113","2025-09","UK","Import","Publicité",1894.51,"GBP"
"TRX_000061","823568584","2023-08","GB","Import","Consulting",99905.99,"EUR"
"TRX_000062","877218337","2024-06","US","Export","Publicité",179799.9,"USD"
"TRX_000063","688560550","2025-06","HK","Import","Support technique",148434.06,"USD"
"TRX_000064","778245953","2025-05","IN","Import","R&D",77449.09,"GBP"
"TRX_000065","560040156","2024-08","CA","Export","Services informatiques",23489.73,"EUR"
"TRX_000066","778245953","2025-08","IN","Import","Services informatiques",24930.47,"USD"
"TRX_000067","581392676","2023-03","NL","Export","R&D",50113.05,"EUR"
"TRX_000068","887981678","2025-03","PL","Import","R&D",78088,"USD"
"TRX_000069","429562558","2024-06","HK","Import","Services informatiques",61916.81,"GBP"
"TRX_000070","521430532","2023-04","IT","Import","Courtage",23153.48,"EUR"
"TRX_000071","840232670","2025-12","CA","Import","Fret",48041.03,"EUR"
"TRX_000072","474525303","2023-06","SE","Import","Support technique",166479.36,"GBP"
"TRX_000073","429562558","2025-12","AU","Export","Logistique",101631.78,"GBP"
"TRX_000074","518566719","2025-03","IN","Import","Maintenance",18794.33,"USD"
"TRX_000075","354223695","2025-08","IN","Export","Logistique",24729.79,"GBP"
"TRX_000076","393166433","2023-04","HK","Import","Publicité",25323.11,"USD"
"TRX_000077","524232458","2025-11","IN","Export","Leasing",17455.73,"EUR"
"TRX_000078","608751238","2025-01","ES","Import","R&D",44942.96,"EUR"
"TRX_000079","672446413","2023-03","BR","Import","Logistique",76180.73,"USD"
"TRX_000080","642048867","2023-12","MX","Import","R&D",138562.51,"USD"
"TRX_000081","433935973","2023-06","IN","Import","Fret",132097.67,"EUR"
"TRX_000082","447760734","2023-10","US","Import","Maintenance",97898.59,"GBP"
"TRX_000083","694567969","2025-02","CN","Export","Fret",42140.28,"EUR"
"TRX_000084","375657968","2023-02","AU","Export","Services informatiques",110732.04,"GBP"
"TRX_000085","393166433","2025-03","SE","Import","Logistique",89111.74,"USD"
"TRX_000086","503082497","2023-08","BE","Import","Fret",26922.82,"GBP"
"TRX_000087","746916022","2023-06","CH","Import","R&D",53924.82,"USD"
"TRX_000088","393360074","2023-04","HK","Import","Logistique",49446.06,"GBP"
"TRX_000089","315788838","2025-12","NL","Import","Services informatiques",190740.85,"EUR"
"TRX_000090","663658596","2025-04","CH","Import","Consulting",111493.42,"EUR"
"TRX_000091","429562558","2024-12","PL","Export","Publicité",174165.34,"EUR"
"TRX_000092","414429749","2025-06","GB","Export","Fret",56914.33,"USD"
"TRX_000093","354223695","2025-04","CN","Import","Consulting",110261.03,"EUR"
"TRX_000094","395721344","2023-11","CH","Import","Support technique",200892.27,"EUR"
"TRX_000095","892617147","2023-11","ES","Export","Courtage",77680.65,"USD"
"TRX_000096","714974780","2025-09","ZA","Import","Support technique",212708.95,"USD"
"TRX_000097","560040156","2023-08","ZA","Import","Support technique",49803.05,"GBP"
"TRX_000098","566062183","2024-06","DE","Import","Publicité",69608.41,"EUR"
"TRX_000099","746916022","2024-01","CA","Import","Leasing",120957.83,"EUR"
"TRX_000100","561267069","2025-01","SG","Export","Fret",61576.23,"EUR"
"TRX_000101","315788838","2024-07","BE","Export","Support technique",194292.66,"USD"
"TRX_000102","642048867","2023-01","US","Export","Fret",67380.56,"USD"
"TRX_000103","596267799","2025-02","IT","Import","Courtage",16109.37,"GBP"
"TRX_000104","382709835","2025-10","NL","Import","Services informatiques",38371.64,"EUR"
"TRX_000105","685664947","2024-11","CH","Export","Services informatiques",59732.1,"EUR"
"TRX_000106","429562558","2023-03","CN","Export","R&D",70872.32,"GBP"
"TRX_000107","648451828","2023-07","CH","Import","Services informatiques",28355.6,"GBP"
"TRX_000108","596267799","2025-02","MX","Export","Leasing",27836.7,"EUR"
"TRX_000109","516233750","2024-04","IT","Import","Support technique",95733.91,"USD"
"TRX_000110","892617147","2025-02","IN","Import","Leasing",32827.37,"GBP"
"TRX_000111","836586521","2023-12","BR","Import","Courtage",163592.37,"USD"
"TRX_000112","403952015","2024-04","IN","Import","Fret",14655.34,"GBP"
"TRX_000113","407154879","2025-09","HK","Export","Publicité",35981.86,"GBP"
"TRX_000114","837130741","2024-08","PL","Import","Leasing",87861.62,"GBP"
"TRX_000115","689511328","2025-10","IN","Export","Publicité",164443.89,"EUR"
"TRX_000116","464357789","2024-12","ES","Import","Support technique",204854.56,"USD"
"TRX_000117","642048867","2023-09","DE","Import","Fret",44791.33,"GBP"
"TRX_000118","590726816","2024-03","CN","Export","Support technique",144670.05,"USD"
"TRX_000119","379596645","2025-07","ES","Export","Fret",110368.44,"GBP"
"TRX_000120","414429749","2023-02","JP","Import","Maintenance",29066.99,"USD"
"TRX_000121","354223695","2024-10","PL","Import","Publicité",38762.91,"GBP"
"TRX_000122","557866768","2023-09","CN","Import","Logistique",27317.4,"USD"
"TRX_000123","588475975","2023-05","PL","Export","Maintenance",178211.34,"EUR"
"TRX_000124","685664947","2024-08","BR","Import","Courtage",98739.85,"GBP"
"TRX_000125","476535691","2025-04","ZA","Export","Courtage",75136.56,"EUR"
"TRX_000126","474486842","2025-11","MX","Export","Maintenance",93777.05,"EUR"
"TRX_000127","537199735","2025-04","US","Import","Consulting",138640.73,"USD"
"TRX_000128","673251982","2025-04","IN","Export","Maintenance",57002.06,"EUR"
"TRX_000129","696944942","2025-09","NL","Export","Support technique",76301.09,"EUR"
"TRX_000130","700998588","2023-10","SE","Import","R&D",30992.07,"GBP"
"TRX_000131","877640240","2024-04","BE","Import","Support technique",154385.55,"USD"
"TRX_000132","537199735","2025-04","SE","Export","R&D",186211.86,"EUR"
"TRX_000133","723490657","2023-03","ZA","Import","Courtage",43615.83,"GBP"
"TRX_000134","637666647","2023-12","HK","Import","Support technique",105483.01,"EUR"
"TRX_000135","509623141","2023-04","IN","Export","R&D",139600.3,"GBP"
"TRX_000136","509623141","2025-05","JP","Export","Logistique",122623.53,"EUR"
"TRX_000137","637666647","2025-08","CH","Import","Publicité",1112.94,"GBP"
"TRX_000138","596267799","2025-01","HK","Export","Support technique",35771.02,"USD"
"TRX_000139","307325218","2024-06","US","Import","Fret",76268.49,"GBP"
"TRX_000140","672446413","2023-12","SG","Import","Consulting",185153.47,"GBP"
"TRX_000141","557866768","2025-07","ZA","Import","Leasing",45692.2,"USD"
"TRX_000142","765787874","2023-11","SG","Export","Consulting",771.56,"GBP"
"TRX_000143","765787874","2025-01","JP","Export","Fret",45050.64,"EUR"
"TRX_000144","399658599","2025-04","AU","Import","Fret",144705.75,"USD"
"TRX_000145","685664947","2023-02","BR","Export","Fret",199834.67,"EUR"
"TRX_000146","518566719","2025-02","CH","Import","Maintenance",185585.71,"EUR"
"TRX_000147","637666647","2025-05","NL","Export","Services informatiques",69838.67,"USD"
"TRX_000148","807180823","2023-04","IT","Import","R&D",14511.28,"GBP"
"TRX_000149","723490657","2023-12","NL","Export","Fret",162241.3,"GBP"
"TRX_000150","576361912","2024-04","SG","Export","Fret",10807.22,"GBP"
"TRX_000151","524232458","2023-12","HK","Export","Fret",58329.68,"USD"
"TRX_000152","354223695","2024-09","SE","Import","Leasing",26306.47,"GBP"
"TRX_000153","508162482","2025-04","CN","Export","Support technique",114951.09,"USD"
"TRX_000154","447760734","2023-02","IT","Import","Consulting",56784.3,"EUR"
"TRX_000155","701750464","2023-09","CN","Import","Consulting",121021.11,"GBP"
"TRX_000156","581392676","2025-07","ES","Export","Services informatiques",107816.81,"GBP"
"TRX_000157","884164131","2024-04","NL","Import","Logistique",60931.28,"USD"
"TRX_000158","856514727","2023-01","NL","Import","Maintenance",126133.93,"GBP"
"TRX_000159","447760734","2025-01","BR","Import","R&D",34483.88,"GBP"
"TRX_000160","561267069","2025-11","PL","Export","R&D",216144.8,"USD"
"TRX_000161","672446413","2024-03","SE","Import","Services informatiques",106154.05,"USD"
"TRX_000162","307325218","2025-05","CN","Import","Services informatiques",214749.99,"USD"
"TRX_000163","403952015","2025-08","ZA","Export","Courtage",141856.56,"GBP"
"TRX_000164","521138762","2025-01","CA","Import","R&D",6773.89,"GBP"
"TRX_000165","648451828","2024-01","HK","Import","Consulting",37809.08,"EUR"
"TRX_000166","395721344","2025-06","AU","Export","Services informatiques",163399.13,"GBP"
"TRX_000167","689511328","2025-01","GB","Import","Leasing",148329.66,"USD"
"TRX_000168","702662157","2025-12","SE","Import","Publicité",7753.14,"USD"
"TRX_000169","746566713","2025-02","BR","Import","Services informatiques",36624.11,"EUR"
"TRX_000170","797676830","2023-08","GB","Import","Logistique",38351.92,"EUR"
"TRX_000171","774235526","2024-10","NL","Import","Logistique",131130.68,"EUR"
"TRX_000172","73392376166","2025-07","PL","Import","Support technique",117864.92,"EUR"
"TRX_000173","307325218","2023-11","SE","Export","Logistique",31755.25,"GBP"
"TRX_000174","440873661","2024-05","CN","Import","Logistique",103522.55,"GBP"
"TRX_000175","861172712","2025-02","BR","Import","Logistique",18114.25,"USD"
"TRX_000176","877640240","2023-04","AU","Import","R&D",51455.1,"USD"
"TRX_000177","691448741","2023-01","IT","Import","Services informatiques",31031.32,"USD"
"TRX_000178","823568584","2023-08","HK","Import","Leasing",84026.05,"USD"
"TRX_000179","716364994","2025-03","MX","Export","Leasing",237660.59,"GBP"
"TRX_000180","503082497","2024-08","DE","Export","Fret",116269.13,"EUR"
"TRX_000181","683870524","2025-02","GB","Import","Leasing",23215.55,"USD"
"TRX_000182","477037712","2025-08","SG","Export","Logistique",44663.57,"EUR"
"TRX_000183","744461512","2025-10","SG","Export","Logistique",43166.42,"USD"
"TRX_000184","591828838","2023-09","IN","Import","R&D",214110.92,"GBP"
"TRX_000185","629877872","2024-11","ZA","Export","Maintenance",94373.04,"EUR"
"TRX_000186","516233750","2024-01","IT","Import","Fret",111378.21,"USD"
"TRX_000187","760373229","2025-10","CA","Import","Maintenance",6670.99,"GBP"
"TRX_000188","823568584","2024-09","DE","Import","Publicité",48142.55,"USD"
"TRX_000189","533673301","2024-08","MX","Import","Leasing",75327.89,"USD"
"TRX_000190","414429749","2024-07","MX","Export","Logistique",31091.06,"EUR"
"TRX_000191","892617147","2025-10","BE","Export","Maintenance",122908.76,"USD"
"TRX_000192","887981678","2023-05","JP","Import","Support technique",257050.67,"GBP"
"TRX_000193","663658596","2024-12","AU","Import","Services informatiques",216686.27,"EUR"
"TRX_000194","647310851","2024-07","CH","Import","Publicité",105564.05,"USD"
"TRX_000195","861172712","2025-08","JP","Export","Services informatiques",229401.92,"GBP"
"TRX_000196","765787874","2023-12","MX","Import","R&D",11067.63,"EUR"
"TRX_000197","702662157","2023-07","IN","Import","Services informatiques",71143.68,"EUR"
"TRX_000198","338158626","2025-08","NL","Export","R&D",108477.48,"EUR"
"TRX_000199","629877872","2023-08","MX","Import","Logistique",123607.19,"EUR"
"TRX_000200","778245953","2024-01","JP","Export","R&D",62000.25,"GBP"
"TRX_000201","694567969","2025-11","CH","Import","Support technique",144516.87,"GBP"
"TRX_000202","323631095","2023-07","AU","Import","R&D",62101.74,"EUR"
"TRX_000203","477037712","2025-02","PL","Export","Fret",136155.24,"GBP"
"TRX_000204","685807491","2025-02","GB","Export","Courtage",182659.64,"EUR"
"TRX_000205","416169572","2023-08","SE","Import","Support technique",10445.11,"USD"
"TRX_000206","338158626","2025-01","BR","Import","Leasing",75985.84,"USD"
"TRX_000207","476535691","2023-06","IN","Export","Courtage",45697.9,"EUR"
"TRX_000208","683870524","2024-07","BR","Import","Services informatiques",122105.07,"USD"
"TRX_000209","542642532","2025-02","US","Import","Consulting",12014.12,"USD"
"TRX_000210","410125118","2025-11","HK","Export","Services informatiques",215444.8,"GBP"
"TRX_000211","516076352","2024-12","JP","Export","Maintenance",44801.53,"GBP"
"TRX_000212","503421033","2024-06","SG","Export","Courtage",157430.73,"USD"
"TRX_000213","462492166","2024-04","IT","Import","Support technique",2224.64,"USD"
"TRX_000214","760373229","2024-09","PL","Import","Publicité",127117.96,"USD"
"TRX_000215","600444026","2023-02","CH","Import","R&D",85056.99,"GBP"
"TRX_000216","462492166","2023-10","PL","Export","Maintenance",20623.82,"GBP"
"TRX_000217","736532681","2023-01","ES","Export","R&D",92601.24,"USD"
"TRX_000218","714974780","2024-06","AU","Export","Leasing",116735.07,"USD"
"TRX_000219","518566719","2025-02","US","Export","Leasing",39156.07,"EUR"
"TRX_000220","701750464","2023-05","US","Export","Leasing",97801.28,"USD"
"TRX_000221","591828838","2023-10","CH","Export","Support technique",173407.31,"EUR"
"TRX_000222","688560550","2024-02","NL","Import","Maintenance",267845.82,"USD"
"TRX_000223","716364994","2024-06","IT","Import","Publicité",58953.62,"USD"
"TRX_000224","760373229","2025-05","CA","Import","Support technique",119979.2,"USD"
"TRX_000225","721548039","2024-06","ZA","Export","Services informatiques",4612.46,"GBP"
"TRX_000226","600444026","2023-08","HK","Import","R&D",111500.38,"USD"
"TRX_000227","691448741","2024-08","US","Export","Maintenance",25970.61,"GBP"
"TRX_000228","765787874","2024-06","IN","Export","Publicité",43963.62,"USD"
"TRX_000229","778245953","2023-05","NL","Import","Maintenance",152721.22,"GBP"
"TRX_000230","688560550","2023-06","DE","Export","Leasing",19440.59,"EUR"
"TRX_000231","309150406","2024-11","CN","Export","Leasing",115747.13,"USD"
"TRX_000232","347556303","2024-05","DE","Import","Services informatiques",244343.02,"EUR"
"TRX_000233","663658596","2023-02","DE","Export","R&D",160270.98,"EUR"
"TRX_000234","410125118","2025-09","GB","Import","Support technique",57911,"USD"
"TRX_000235","797676830","2023-03","CA","Export","Support technique",7346.97,"EUR"
"TRX_000236","763799764","2025-01","US","Export","Maintenance",151587.27,"USD"
"TRX_000237","648451828","2023-02","GB","Import","Leasing",216872.19,"USD"
"TRX_000238","746916022","2024-01","JP","Export","Maintenance",12496.01,"EUR"
"TRX_000239","746916022","2025-06","BE","Import","Consulting",120965.88,"GBP"
"TRX_000240","774235526","2023-03","ZA","Export","Courtage",68173.14,"USD"
"TRX_000241","837130741","2024-10","PL","Export","Services informatiques",141845.79,"GBP"
"TRX_000242","508284398","2023-05","CH","Export","Courtage",66485.98,"USD"
"TRX_000243","622525805","2024-02","ES","Import","Leasing",1470.01,"EUR"
"TRX_000244","516233750","2024-03","SE","Import","R&D",54675.13,"EUR"
"TRX_000245","347556303","2024-06","IN","Import","Support technique",91108.39,"GBP"
"TRX_000246","877640240","2024-07","CH","Import","Publicité",14050.02,"GBP"
"TRX_000247","676911174","2023-12","SG","Import","Services informatiques",775.28,"EUR"
"TRX_000248","698773401","2025-09","GB","Export","Support technique",8642.86,"EUR"
"TRX_000249","581392676","2024-03","MX","Export","Consulting",234920.23,"EUR"
"TRX_000250","622525805","2024-10","NL","Export","R&D",44000.16,"EUR"
"TRX_000251","767262414","2025-03","JP","Export","Courtage",88820.48,"EUR"
"TRX_000252","622740591","2023-03","CN","Import","Logistique",214138.15,"EUR"
"TRX_000253","763799764","2024-11","AU","Import","Courtage",54603.47,"GBP"
"TRX_000254","596267799","2023-08","MX","Export","Fret",74813.3,"GBP"
"TRX_000255","414415144","2023-02","GB","Export","Support technique",269183.41,"EUR"
"TRX_000256","591828838","2024-10","IT","Import","Logistique",141443.86,"EUR"
"TRX_000257","429562558","2025-12","DE","Export","Logistique",131827.51,"USD"
"TRX_000258","676822243","2025-03","GB","Import","Maintenance",176584.68,"USD"
"TRX_000259","676911174","2025-11","GB","Export","Services informatiques",116384.28,"EUR"
"TRX_000260","608751238","2023-02","PL","Import","Support technique",137396.63,"USD"
"TRX_000261","702662157","2024-10","HK","Export","Publicité",217758.93,"EUR"
"TRX_000262","503082497","2023-05","PL","Import","Services informatiques",10983.85,"USD"
"TRX_000263","622525805","2023-06","CH","Export","Maintenance",68893.28,"GBP"
"TRX_000264","536511620","2025-10","SG","Import","Maintenance",38578,"GBP"
"TRX_000265","561267069","2025-08","CA","Import","Courtage",66052.58,"EUR"
"TRX_000266","332637911","2025-03","BR","Import","Support technique",76911.54,"USD"
"TRX_000267","689511328","2023-12","ES","Import","R&D",70523.67,"GBP"
"TRX_000268","765787874","2025-03","BR","Export","Consulting",128862.62,"EUR"
"TRX_000269","896319729","2023-03","SE","Import","Maintenance",150433.45,"GBP"
"TRX_000270","403952015","2025-06","CA","Import","Leasing",72382.34,"EUR"
"TRX_000271","691448741","2023-04","IN","Import","Consulting",2463.98,"USD"
"TRX_000272","476518783","2025-01","ES","Import","Leasing",132514.73,"GBP"
"TRX_000273","503082497","2024-08","ES","Export","Logistique",250166.3,"USD"
"TRX_000274","763799764","2024-08","NL","Export","Support technique",21431.88,"GBP"
"TRX_000275","685664947","2024-12","ES","Export","Leasing",36727.58,"GBP"
"TRX_000276","877640240","2024-02","US","Export","Fret",177835.83,"USD"
"TRX_000277","815697976","2025-12","IN","Import","Leasing",5653.91,"USD"
"TRX_000278","382709835","2025-09","IT","Export","Publicité",164421.1,"GBP"
"TRX_000279","700998588","2025-05","BE","Import","Leasing",139314.99,"USD"
"TRX_000280","518566719","2025-05","BE","Import","Support technique",165413.67,"USD"
"TRX_000281","629877872","2024-02","BE","Import","Support technique",NA,"GBP"
"TRX_000282","691448741","2025-08","GB","Import","Maintenance",114987.41,"USD"
"TRX_000283","537199735","2025-04","HK","Export","Leasing",36457.23,"EUR"
"TRX_000284","447760734","2025-07","JP","Import","Support technique",17103.89,"GBP"
"TRX_000285","440608028","2024-10","BE","Import","Leasing",71675.86,"USD"
"TRX_000286","700998588","2023-01","IT","Export","R&D",58955.44,"USD"
"TRX_000287","629877872","2023-05","IT","Export","Maintenance",161889.73,"GBP"
"TRX_000288","509623141","2024-11","MX","Import","Publicité",41430.01,"EUR"
"TRX_000289","676911174","2024-12","BE","Export","Maintenance",57222.5,"GBP"
"TRX_000290","474525303","2023-06","IT","Export","Logistique",22025.92,"USD"
"TRX_000291","695390113","2025-02","IT","Export","Leasing",106155.87,"EUR"
"TRX_000292","691448741","2023-02","IT","Import","Courtage",159697.33,"GBP"
"TRX_000293","447760734","2024-10","SE","Import","Fret",9242.76,"USD"
"TRX_000294","763799764","2023-02","US","Export","R&D",58661.75,"EUR"
"TRX_000295","586146491","2024-04","GB","Export","R&D",26247.09,"EUR"
"TRX_000296","688560550","2024-08","NL","Import","Leasing",190393.22,"EUR"
"TRX_000297","429562558","2024-02","HK","Import","Fret",136871.4,"USD"
"TRX_000298","763799764","2023-02","GB","Import","R&D",72406.19,"EUR"
"TRX_000299","525722212","2024-11","NL","Import","Services informatiques",110115.81,"USD"
"TRX_000300","765787874","2025-01","ZA","Import","Services informatiques",115719.81,"GBP"
"TRX_000301","521138762","2024-06","DE","Export","Consulting",18502.71,"GBP"
"TRX_000302","616907383","2024-06","CA","Export","Consulting",233259.01,"USD"
"TRX_000303","767262414","2023-04","SG","Import","Maintenance",68499.78,"USD"
"TRX_000304","347556303","2023-10","CA","Export","Maintenance",7171.35,"GBP"
"TRX_000305","469431876","2025-11","CH","Export","Maintenance",10995.48,"GBP"
"TRX_000306","407154879","2025-07","BE","Export","Courtage",18245.57,"EUR"
"TRX_000307","840232670","2025-11","CH","Import","Leasing",165115.26,"USD"
"TRX_000308","338158626","2025-08","AU","Export","Publicité",53694.95,"USD"
"TRX_000309","600444026","2024-02","HK","Import","Maintenance",38744.22,"USD"
"TRX_000310","503421033","2025-09","PL","Export","Logistique",252969.08,"GBP"
"TRX_000311","763799764","2024-03","MX","Export","Maintenance",39209.89,"EUR"
"TRX_000312","625605306","2025-04","SE","Export","Leasing",64508.15,"EUR"
"TRX_000313","698773401","2023-02","GB","Import","Logistique",33597.19,"USD"
"TRX_000314","414429749","2024-12","CH","Import","Support technique",76980.81,"EUR"
"TRX_000315","354223695","2023-06","ES","Import","Fret",74365.46,"GBP"
"TRX_000316","836586521","2024-06","BE","Import","Services informatiques",29820.86,"GBP"
"TRX_000317","469116354","2024-06","GB","Export","Fret",176907.24,"USD"
"TRX_000318","542642532","2023-03","ES","Import","Consulting",14123.8,"USD"
"TRX_000319","847381352","2025-10","JP","Export","Logistique",44662.77,"USD"
"TRX_000320","407242734","2023-07","BE","Export","Fret",99424.31,"EUR"
"TRX_000321","746566713","2023-01","ZA","Export","Publicité",73207.55,"USD"
"TRX_000322","696944942","2023-09","SG","Import","R&D",176219.26,"GBP"
"TRX_000323","703507416","2023-03","CA","Export","Support technique",214026.55,"USD"
"TRX_000324","309150406","2025-04","BE","Import","R&D",104938.09,"USD"
"TRX_000325","807180823","2025-06","PL","Export","Publicité",183905.41,"EUR"
"TRX_000326","560040156","2024-11","ES","Import","Consulting",78860.87,"EUR"
"TRX_000327","657370909","2023-09","HK","Import","Support technique",11239.68,"GBP"
"TRX_000328","642048867","2025-05","IN","Export","Consulting",28859.12,"USD"
"TRX_000329","836586521","2025-09","JP","Export","Maintenance",37467.37,"GBP"
"TRX_000330","605255483","2025-05","CA","Export","R&D",168188.42,"EUR"
"TRX_000331","447760734","2024-07","US","Import","Leasing",106552.85,"EUR"
"TRX_000332","892617147","2024-09","HK","Import","Publicité",31802.94,"USD"
"TRX_000333","332637911","2023-09","SG","Import","R&D",33390.31,"GBP"
"TRX_000334","695390113","2024-03","BR","Export","Leasing",88163.38,"EUR"
"TRX_000335","837130741","2023-05","GB","Import","Fret",33894.58,"GBP"
"TRX_000336","373676741","2024-01","SG","Export","Support technique",80919.7,"GBP"
"TRX_000337","581392676","2024-12","MX","Import","Courtage",70617.44,"GBP"
"TRX_000338","676911174","2023-04","BR","Import","Support technique",180694.68,"EUR"
"TRX_000339","629877872","2025-07","CA","Import","Leasing",3716.26,"EUR"
"TRX_000340","309150406","2023-09","ZA","Import","Support technique",133226.2,"EUR"
"TRX_000341","508284398","2023-05","GB","Import","Logistique",252107.74,"USD"
"TRX_000342","719557960","2025-04","IT","Export","Support technique",73908.44,"EUR"
"TRX_000343","503421033","2023-11","BE","Export","Services informatiques",38540.78,"EUR"
"TRX_000344","629877872","2023-03","ES","Export","Logistique",110231.13,"GBP"
"TRX_000345","393360074","2024-02","GB","Export","Services informatiques",107967.39,"GBP"
"TRX_000346","807180823","2025-12","AU","Export","Courtage",84322.9,"GBP"
"TRX_000347","588475975","2025-07","PL","Import","Fret",181172.31,"EUR"
"TRX_000348","521138762","2024-01","IN","Export","R&D",106409.09,"GBP"
"TRX_000349","476518783","2025-02","ZA","Import","Logistique",29006.12,"USD"
"TRX_000350","767464543","2023-11","GB","Import","Publicité",195234.28,"EUR"
"TRX_000351","736532681","2024-10","US","Export","R&D",91889.59,"GBP"
"TRX_000352","836586521","2025-02","CN","Export","Fret",67888.4,"USD"
"TRX_000353","721548039","2023-06","CA","Export","Services informatiques",71131.38,"EUR"
"TRX_000354","509623141","2023-12","PL","Export","Services informatiques",83645.13,"USD"
"TRX_000355","363488763","2025-02","US","Import","Fret",104029.46,"EUR"
"TRX_000356","464357789","2025-06","GB","Export","Maintenance",30347.56,"GBP"
"TRX_000357","464357789","2024-01","PL","Import","Publicité",87721.39,"EUR"
"TRX_000358","746566713","2025-03","IT","Export","Publicité",116240.79,"EUR"
