"siren","pays_partenaire","annee","type_relation","taux_detention","flux_equity","flux_pret_intragroupe","stock_ide","raison_sociale","secteur_activite"
"542642532","US",2025,"Succursale",0.1539,-96430.52,-3259.91,650457.19,"Intermarché","Grande distribution"
"721548039","SG",2024,"Succursale",0.2697,137279.74,-8844.85,917538.7,"Airbus","Aérospatial"
"685807491","ES",2025,"Succursale",0.267,-183368.49,63646.6,803435.06,"Capgemini","Services informatiques"
"887981678","HK",2025,"Maison Mère",0.3844,-60744.06,-88141.44,473741.33,"Société_Française_107","Culture"
"521430532","BE",2025,"Autre",0.7477,26315.98,-166830.03,495316.54,"Société_Française_89","Énergie"
"793532236","MX",2025,"Maison Mère",0.963,10326.24,-107426.5,429256.61,"Publicis Groupe","Publicité"
"837130741","ZA",2023,"Joint Venture",0.6711,283430.72,51058.64,444010.58,"Dassault Systèmes","Logiciels"
"746916022","GB",2024,"Partenaire stratégique",0.7917,104281.51,83387,954006.6,"Société_Française_127","Hôtellerie"
"622525805","ES",2025,"Partenaire stratégique",0.8059,-104996.9,53340.82,1085546.64,"Eiffage","BTP"
"363488763","GB",2024,"Succursale",0.4358,-337702.86,-76296.28,474414.32,"Ipsen","Pharmaceutique"
"764929686","HK",2025,"Maison Mère",0.9177,-103231.02,-99152.7,462166.18,"Société_Française_150","Commerce"
"746566713","SE",2023,"Filiale",0.6085,288522.19,-119197.01,162488.88,"Fnac Darty","Distribution spécialisée"
"338158626","SE",2025,"Partenaire stratégique",0.4293,136255.77,-27575.53,195828.4,"Suez","Services environnementaux"
"521138762","HK",2024,"Filiale",0.6229,-66619.96,100159.39,153829.78,"Société_Française_83","Technologie"
"586146491","NL",2024,"Filiale",0.574,-29448.94,19334.93,1081390.63,"Société_Française_148","Transport"
"807180823","SG",2025,"Maison Mère",0.6964,79103.86,-93172.98,361533.48,"Société_Française_102","Industrie"
"503421033","US",2024,"Maison Mère",0.4476,276753.1,-52189.77,392779.99,"TF1","Médias"
"647310851","US",2025,"Autre",0.8575,-325937.65,-108377.2,89946.84,"Société_Française_105","Transport"
"347556303","SG",2024,"Maison Mère",0.856,105959.4,99602.68,256982.94,"Société_Française_84","Hôtellerie"
"694567969","BE",2025,"Autre",0.8706,-117517.99,58842.67,425120.87,"Société_Française_117","Transport"
"672446413","ZA",2023,"Partenaire stratégique",0.4273,107866.68,-96674.22,253496.19,"Société_Française_123","Agriculture"
"714974780","MX",2023,"Partenaire stratégique",0.1929,315602.3,-17799.02,675679.4,"Société_Française_98","Culture"
"596267799","AU",2025,"Autre",0.7085,-30354.94,-107420.09,391846.9,"Petit Bateau","Textile"
"462492166","DE",2023,"Joint Venture",0.6418,152755.9,-17103.24,661887.5,"Société_Française_112","Santé"
"393166433","SE",2025,"Filiale",0.1299,-175784.86,-3668.44,103506.21,"Société_Française_144","Services"
"600444026","US",2023,"Maison Mère",0.091,-32046.9,-126984.98,715179.76,"Société_Française_136","Technologie"
"462492166","IN",2024,"Filiale",0.2412,-175277.44,-37060.46,59379.77,"Société_Française_112","Santé"
"521430532","BE",2025,"Partenaire stratégique",0.1964,-50471.39,-131070.04,466585.69,"Société_Française_89","Énergie"
"774235526","IN",2023,"Autre",0.3261,100041.46,-81901.24,73135.32,"Chanel","Luxe"
"648451828","US",2023,"Partenaire stratégique",0.4712,5846.9,33808.4,472158.88,"M6","Médias"
"307325218","JP",2024,"Succursale",0.1775,236724.45,-35223.38,425534.83,"Safran","Aérospatial"
"586146491","GB",2025,"Joint Venture",0.356,-110694.32,-29179.46,743525.52,"Société_Française_148","Transport"
"474486842","JP",2023,"Autre",0.41,128095.48,21968.77,20488,"Société_Française_132","Hôtellerie"
"694567969","HK",2024,"Joint Venture",0.7937,-247265.14,-76045,708597.57,"Société_Française_117","Transport"
"405807560","BE",2024,"Partenaire stratégique",0.976,-101857.89,-44134.58,463891.55,"EDF","Énergie"
"410125118","PL",2025,"Maison Mère",0.4788,49718.91,-98704.23,601343.72,"Société_Française_75","Commerce"
"719557960","GB",2025,"Maison Mère",0.5027,-4690.87,-28614.83,577483.48,"Société_Française_145","Industrie"
"676822243","DE",2023,"Maison Mère",0.7641,147833.72,-8316.31,495083.64,"Société_Française_97","Santé"
"877640240","IN",2023,"Partenaire stratégique",0.5253,-105467.13,111013.41,454285.22,"Société_Française_140","Technologie"
"676822243","DE",2023,"Autre",0.8082,-125103.29,-153647.07,235335.32,"Société_Française_97","Santé"
"767262414","IN",2024,"Autre",0.8525,-7309.72,93051.36,9383.78,"Atos","Services informatiques"
"861172712","AU",2024,"Maison Mère",0.6135,48106.73,-104172.73,480876.04,"Société_Française_108","Santé"
"760373229","HK",2025,"Autre",0.4815,54774.63,13094.21,371347.56,"Casino","Grande distribution"
"405807560","CA",2024,"Autre",0.7398,222117.03,-45519.23,606514.57,"EDF","Énergie"
"524232458","IT",2025,"Autre",0.1175,-395605.04,-66943.73,442947.25,"Geodis","Logistique"
"782062519","CN",2025,"Autre",0.0921,40361.66,-639.44,639515.66,"Dassault Aviation","Aérospatial"
"403952015","IN",2023,"Partenaire stratégique",0.4765,-76043.27,71254.79,627525.79,"Saint-Gobain","Matériaux de construction"
"429562558","GB",2024,"Succursale",0.4088,-246484.27,127105.88,689749.2,"Société_Française_113","Énergie"
"815697976","ZA",2023,"Partenaire stratégique",0.8503,-50997.01,-75112.98,292152.31,"Société_Française_121","Services"
"767464543","BR",2024,"Partenaire stratégique",0.2386,12287.69,-106049.32,413209.21,"La Poste","Logistique"
"307325218","CH",2025,"Maison Mère",0.339,-53745.03,99827.27,783987.22,"Safran","Aérospatial"
"703507416","JP",2025,"Autre",0.5394,-398621.24,12582.63,318519.61,"Société_Française_99","Hôtellerie"
"503082497","PL",2023,"Autre",0.2468,120771.52,-78744.76,558948.23,"Nexity","Immobilier"
"685664947","BR",2023,"Maison Mère",0.8611,-48088.9,-106022.9,441026.14,"Société_Française_115","Transport"
"815697976","DE",2025,"Autre",0.5533,-269959.34,-69092.62,492155.71,"Société_Française_121","Services"
"657370909","CH",2024,"Succursale",0.5605,-205873.3,-208745.96,67928.12,"Société_Française_149","Technologie"
"767464543","MX",2024,"Joint Venture",0.6273,-9763.29,46364.48,697350.76,"La Poste","Logistique"
"763468302","ZA",2024,"Filiale",0.6499,177008.54,-12339.48,470099.54,"Accor","Hôtellerie"
"746566713","ES",2023,"Partenaire stratégique",0.8404,-106107.22,67481.95,604546.57,"Fnac Darty","Distribution spécialisée"
"474486842","PL",2025,"Joint Venture",0.5792,-249284.29,-124473.43,441765.97,"Société_Française_132","Hôtellerie"
"760373229","NL",2025,"Filiale",0.174,-44263.96,12671.02,890837.27,"Casino","Grande distribution"
"591828838","GB",2025,"Joint Venture",0.7671,25785.01,-12651.92,499636.52,"Société_Française_126","Industrie"
"307325218","NL",2024,"Partenaire stratégique",0.941,207648.33,117987.75,386501.21,"Safran","Aérospatial"
"356174702","BE",2024,"Autre",0.277,321123.39,50132.2,379659.98,"Danone","Agroalimentaire"
"695390113","IT",2024,"Joint Venture",0.7502,-212534.84,-69081.95,712720.39,"Société_Française_142","Industrie"
"330600273","GB",2023,"Succursale",0.2435,-78183.82,15587.31,290623.08,"Société_Française_131","Transport"
"793532236","MX",2023,"Maison Mère",0.5692,242156.18,-7709.98,492157.99,"Publicis Groupe","Publicité"
"700998588","BE",2025,"Maison Mère",0.5505,135485.5,109321.88,421184.71,"Société_Française_146","Services"
"837130741","NL",2024,"Filiale",0.0717,-98217.32,-65506.09,610579.99,"Dassault Systèmes","Logiciels"
"474525303","BE",2023,"Autre",0.0912,49563.92,61459.73,700785.07,"Lagardère","Médias"
"407242734","IT",2023,"Maison Mère",0.5625,-157222.06,60771.6,323085.3,"Servier","Pharmaceutique"
"416169572","SG",2025,"Maison Mère",0.657,-19362.72,89185.91,292352.53,"Société_Française_122","Transport"
"702662157","ZA",2025,"Maison Mère",0.4392,83154.59,-73999.8,653668.02,"Bouygues","BTP"
"521138762","DE",2024,"Partenaire stratégique",0.6215,54412.02,-41865.64,546168.82,"Société_Française_83","Technologie"
"714974780","JP",2024,"Filiale",0.3904,-37573.26,-56751.64,210533.79,"Société_Française_98","Culture"
"648451828","JP",2025,"Filiale",0.715,11458.84,-63092.81,777735.81,"M6","Médias"
"672446413","ZA",2023,"Partenaire stratégique",0.1299,-279454.71,-25036.15,351471.62,"Société_Française_123","Agriculture"
"476518783","CA",2025,"Partenaire stratégique",0.7603,-132863.64,-125679.24,1129480.52,"Société_Française_147","Construction"
"719557960","SE",2024,"Filiale",NA,126014.21,-193408.95,928091.45,"Société_Française_145","Industrie"
"685664947","BR",2025,"Partenaire stratégique",0.1197,-160352.91,80355.56,362771,"Société_Française_115","Transport"
"581392676","NL",2025,"Partenaire stratégique",0.906,423048.09,104970.7,357057.25,"Kering","Luxe"
"503421033","SG",2025,"Maison Mère",0.4197,121929.41,-10143.01,684417.8,"TF1","Médias"
"760373229","SG",2025,"Succursale",0.619,-71336.29,-91118.33,389117.58,"Casino","Grande distribution"
"464386132","IN",2023,"Maison Mère",0.1311,-21019.87,-26882.98,560227.41,"Société_Française_87","Transport"
"518566719","BE",2023,"Succursale",0.7828,-76016.71,-62319.98,798063.47,"Hermès International","Luxe"
"447760734","JP",2024,"Joint Venture",0.3745,-111732.11,-103274.18,480283.98,"Lacoste","Textile"
"509623141","NL",2024,"Joint Venture",0.1129,105842.84,117758.4,884899.19,"Boulanger","Distribution spécialisée"
"464386132","IN",2024,"Filiale",0.1982,-18284.53,-5571.72,343016.16,"Société_Française_87","Transport"
"614220298","SE",2025,"Joint Venture",0.3495,81327.09,-42965.11,314591.1,"Bonduelle","Agroalimentaire"
"477037712","CH",2025,"Maison Mère",0.1204,-95187.84,10877.8,640004.49,"Biomérieux","Santé"
"676822243","GB",2023,"Joint Venture",0.0937,-72352.7,-64467.7,552199.41,"Société_Française_97","Santé"
"414429749","HK",2023,"Autre",0.3282,65898.52,56425.07,344435.19,"SNCF","Transport ferroviaire"
"440608028","ES",2023,"Filiale",0.2218,-37794.27,-11830.79,35579.55,"Société_Française_101","Construction"
"307325218","IN",2024,"Filiale",0.4592,17765.54,-853.42,281580.96,"Safran","Aérospatial"
"723490657","CA",2023,"Maison Mère",0.6825,151945.7,80366.43,660731.46,"Elior","Restauration collective"
"518566719","GB",2025,"Autre",0.184,22977.98,-32688.57,419547.28,"Hermès International","Luxe"
"464357789","ZA",2023,"Autre",0.6587,171669.9,142488.41,199993.32,"Société_Française_77","Culture"
"509623141","NL",2024,"Maison Mère",0.9549,298028.04,68648.91,731995.8,"Boulanger","Distribution spécialisée"
"859293323","JP",2023,"Joint Venture",0.9556,-207804.85,15775.35,698735.53,"Renault","Automobile"
"307325218","BE",2023,"Maison Mère",0.2676,218760.11,-48052.74,820643.09,"Safran","Aérospatial"
"719557960","JP",2024,"Partenaire stratégique",0.9442,161437.57,-22010.56,605821.04,"Société_Française_145","Industrie"
"702662157","CA",2025,"Partenaire stratégique",0.325,56444.88,-76226.96,954430.31,"Bouygues","BTP"
"622525805","NL",2024,"Joint Venture",0.2515,-183782.2,14327.08,710339.02,"Eiffage","BTP"
"793532236","CA",2024,"Maison Mère",0.2657,420645.29,-131523.95,706890.41,"Publicis Groupe","Publicité"
"723490657","HK",2023,"Maison Mère",0.3642,-9490.34,18234.01,940561.08,"Elior","Restauration collective"
"676822243","ZA",2023,"Partenaire stratégique",0.6117,256072.5,62479.46,427373.52,"Société_Française_97","Santé"
"373676741","SG",2025,"Succursale",0.1924,-117488.72,52023.36,543205.34,"Société_Française_128","Énergie"
"309150406","US",2025,"Joint Venture",0.7034,-4796.99,25610.84,743377.02,"Savencia","Agroalimentaire"
"558882815","US",2024,"Joint Venture",0.1264,-170689.48,39989.89,420495.31,"Société_Française_143","Technologie"
"414415144","AU",2023,"Joint Venture",0.1222,-54826.82,60797.27,822959.56,"Société_Française_139","Technologie"
"663658596","ES",2024,"Partenaire stratégique",0.4847,-91664.54,-17042.98,413043.59,"Dior","Luxe"
"586146491","SG",2023,"Autre",0.0601,71114.08,56065.35,673275.17,"Société_Française_148","Transport"
"332637911","CA",2025,"Partenaire stratégique",0.8586,62748.23,-56969.93,849439.09,"Société_Française_96","Culture"
"560040156","PL",2025,"Succursale",0.6622,-53855.22,-90405.49,723399.54,"Société_Française_129","Hôtellerie"
"877218337","DE",2025,"Filiale",0.4407,-171027.73,31767.94,422782.46,"Société_Française_91","Environnement"
"393166433","US",2025,"Autre",0.0667,22886.91,137070.93,186021.02,"Société_Française_144","Services"
"410125118","SE",2023,"Succursale",0.6085,115127.01,-44767.55,544218.19,"Société_Française_75","Commerce"
"622740591","BE",2024,"Partenaire stratégique",0.2508,-13010.93,189979.32,100003.6,"Société_Française_119","Technologie"
"720493468","PL",2023,"Filiale",0.9402,102069.87,9448.42,235802.09,"Faurecia","Équipement automobile"
"723490657","IN",2025,"Autre",0.2925,7649.56,-107296.81,957155.53,"Elior","Restauration collective"
"840232670","SE",2023,"Succursale",0.789,-67220.26,-9483.92,344647.69,"Engie","Énergie"
"477037712","SG",2024,"Succursale",0.4268,-81588.21,87065.26,664868.92,"Biomérieux","Santé"
"616907383","CN",2024,"Succursale",0.0579,30614.98,100509.09,396945.16,"Lactalis","Agroalimentaire"
"332637911","JP",2023,"Joint Venture",0.7273,-97311.78,79855.07,478693.67,"Société_Française_96","Culture"
"330600273","CA",2024,"Autre",0.9688,201612.35,70987.47,286997.43,"Société_Française_131","Transport"
"749965780","SE",2023,"Autre",0.445,-149118.44,-11860.37,455053.87,"Ubisoft","Jeux vidéo"
"309150406","HK",2024,"Succursale",0.3142,-188809.73,-129740.95,682212.26,"Savencia","Agroalimentaire"
"590726816","IN",2024,"Autre",0.0809,73106.21,-39712.28,821491.29,"Veolia","Services environnementaux"
"557866768","SG",2023,"Autre",0.6343,90691.6,54775.76,400735.35,"Société_Française_104","Santé"
"721548039","ZA",2023,"Maison Mère",0.5882,-376749.84,-9293.83,308763.97,"Airbus","Aérospatial"
"462492166","IT",2023,"Partenaire stratégique",0.5089,86092.03,11466.7,509799.54,"Société_Française_112","Santé"
"673251982","ZA",2024,"Autre",0.8192,210441.84,69801.33,54336.07,"Société_Française_95","Agriculture"
"836586521","US",2024,"Autre",0.4296,100553.8,61271.38,212316.1,"Société_Française_79","Technologie"
"622525805","MX",2023,"Joint Venture",0.3517,-9257.72,52157.03,540541.27,"Eiffage","BTP"
"714974780","JP",2024,"Partenaire stratégique",0.2159,-19103.59,-89793.74,880754.17,"Société_Française_98","Culture"
"403952015","CN",2024,"Joint Venture",0.4922,-107784.62,-26780.53,452542.16,"Saint-Gobain","Matériaux de construction"
"672446413","NL",2023,"Partenaire stratégique",0.4086,88565.26,15469.19,611071.44,"Société_Française_123","Agriculture"
"508162482","AU",2023,"Maison Mère",0.3679,-7959.54,-6767.76,670751.92,"LVMH","Luxe"
"688560550","BR",2024,"Partenaire stratégique",0.1711,165761.55,-71367.69,364629.35,"Unibail-Rodamco-Westfield","Immobilier commercial"
"332637911","MX",2024,"Autre",0.6307,17952.66,-156539.93,467798.83,"Société_Française_96","Culture"
"558882815","JP",2025,"Maison Mère",0.2459,100061.31,-67187.66,389767.96,"Société_Française_143","Technologie"
"749965780","AU",2023,"Maison Mère",0.562,-14955.88,77942.22,598034.19,"Ubisoft","Jeux vidéo"
"859293323","BE",2023,"Filiale",0.3231,-47653.12,-26023.31,601327.84,"Renault","Automobile"
"695390113","DE",2024,"Maison Mère",0.947,-3207.6,100264.85,415762.25,"Société_Française_142","Industrie"
"859293323","GB",2025,"Filiale",0.9795,36526.39,116855.8,424394.24,"Renault","Automobile"
"440608028","SE",2024,"Succursale",0.2667,-100761.33,-12512.63,130510.73,"Société_Française_101","Construction"
"330600273","SG",2025,"Maison Mère",0.8978,19389.76,47498.38,491591.78,"Société_Française_131","Transport"
"749965780","CN",2023,"Maison Mère",0.6228,-55217.67,-65924.07,478514.18,"Ubisoft","Jeux vidéo"
"702445345","HK",2023,"Joint Venture",0.6539,120686.04,-5243.58,653954.49,"Air France-KLM","Transport aérien"
"763799764","HK",2025,"Maison Mère",0.2606,26181.09,-51474.82,349931.51,"Société_Française_92","Hôtellerie"
"884061319","CH",2024,"Joint Venture",0.4639,162868.11,-80611.47,384999.51,"Terrena","Agriculture"
"405807560","JP",2024,"Maison Mère",0.3438,314244.06,-35097.69,585125.09,"EDF","Énergie"
"763799764","CH",2023,"Joint Venture",0.1133,260453.18,-41470.16,91380.37,"Société_Française_92","Hôtellerie"
"516076352","PL",2025,"Partenaire stratégique",0.7618,77697.56,-6202.32,563980.11,"Société_Française_114","Environnement"
"521138762","MX",2025,"Succursale",0.3354,107437.57,-115196.12,700154.23,"Société_Française_83","Technologie"
"685807491","NL",2025,"Maison Mère",0.8836,-174748.32,48699.01,579803.55,"Capgemini","Services informatiques"
"393166433","IT",2023,"Autre",0.2146,-171193.94,-5370.42,370880.97,"Société_Française_144","Services"
"764929686","SE",2023,"Autre",0.1032,-94987.52,-190071.66,836561.83,"Société_Française_150","Commerce"
"807180823","BR",2023,"Maison Mère",0.9419,196560.57,-38044.79,837625.29,"Société_Française_102","Industrie"
"625605306","DE",2023,"Filiale",0.7867,200980.22,34710.77,667733.47,"Société_Française_118","Énergie"
"581392676","AU",2025,"Joint Venture",0.41,79893,-146027.35,845625.04,"Kering","Luxe"
"363488763","JP",2024,"Partenaire stratégique",0.3416,238615.28,68092.97,905082.08,"Ipsen","Pharmaceutique"
"608751238","AU",2023,"Filiale",0.554,196781.23,65102.85,848146.01,"Société_Française_125","Services"
"647310851","MX",2024,"Partenaire stratégique",0.1403,-17409.36,-122364.31,538620.3,"Société_Française_105","Transport"
"503082497","SG",2023,"Filiale",0.8783,116232.32,176962.78,411537.56,"Nexity","Immobilier"
"657370909","CH",2025,"Succursale",0.4285,-53339.44,-38494.45,548555.81,"Société_Française_149","Technologie"
"663658596","MX",2024,"Joint Venture",0.787,-175102.46,66975.97,646862.51,"Dior","Luxe"
"703507416","ZA",2025,"Joint Venture",0.2946,118942.11,122588.8,404088.79,"Société_Française_99","Hôtellerie"
"414429749","CA",2024,"Succursale",0.6108,-135849.68,167527.2,838605.9,"SNCF","Transport ferroviaire"
"767464543","CN",2025,"Autre",0.7241,40306.89,-36877.08,678910.43,"La Poste","Logistique"
"382709835","HK",2025,"Partenaire stratégique",0.6253,-10096.98,-114197.09,745431.66,"Gameloft","Jeux vidéo"
"683870524","DE",2025,"Partenaire stratégique",0.4665,90614.33,-36525.49,790639.36,"Société_Française_111","Culture"
"581392676","CH",2025,"Maison Mère",0.9782,-159176.35,27577.44,364701.25,"Kering","Luxe"
"837130741","ES",2024,"Autre",0.5513,8691.54,9649.75,694945.41,"Dassault Systèmes","Logiciels"
"347556303","CA",2024,"Maison Mère",0.3793,172592.74,24769.88,320265.33,"Société_Française_84","Hôtellerie"
"616907383","BE",2024,"Joint Venture",0.0912,-146667.12,13692.52,850219.4,"Lactalis","Agroalimentaire"
"691448741","BE",2025,"Autre",0.3311,114269.04,28013.27,534161.12,"Société_Française_130","Technologie"
"330600273","DE",2023,"Joint Venture",0.1867,-149222.31,-57412.66,240484.75,"Société_Française_131","Transport"
"464386132","CA",2024,"Succursale",0.8877,-171672.86,101647.39,40180.74,"Société_Française_87","Transport"
"847381352","SE",2023,"Succursale",0.8943,-135229.4,-141942.83,734684.48,"Leclerc","Grande distribution"
"767464543","SG",2025,"Filiale",0.5173,10261.67,78861.53,996807.21,"La Poste","Logistique"
"719557960","SE",2023,"Maison Mère",0.3462,10707.03,14009.63,737264.14,"Société_Française_145","Industrie"
"518566719","IT",2025,"Filiale",0.4465,-55996.08,7911.95,278501.58,"Hermès International","Luxe"
"815697976","JP",2025,"Filiale",0.9393,-66661.57,81759.73,344214.93,"Société_Française_121","Services"
"338158626","ZA",2025,"Succursale",0.738,56696.6,-113959.05,725304.07,"Suez","Services environnementaux"
"600444026","MX",2025,"Partenaire stratégique",0.9071,-102061.6,83761.33,416634.33,"Société_Française_136","Technologie"
"782062519","CN",2023,"Autre",0.3415,127025.46,78628.16,279641.37,"Dassault Aviation","Aérospatial"
"516076352","ZA",2023,"Filiale",0.2199,-338704.58,63466.73,518754.58,"Société_Française_114","Environnement"
"474486842","HK",2025,"Succursale",0.1037,-250787.85,-87407.77,237051.55,"Société_Française_132","Hôtellerie"
"363488763","US",2023,"Joint Venture",0.528,221250.38,109032.81,593470.1,"Ipsen","Pharmaceutique"
"746566713","PL",2023,"Partenaire stratégique",0.2643,174036.49,154033.21,200870.28,"Fnac Darty","Distribution spécialisée"
"315788838","AU",2025,"Succursale",0.3773,116889.14,-918.54,842274.75,"Société_Française_80","Énergie"
"647310851","BR",2023,"Joint Venture",0.6911,-171269.78,-101095.29,188303.58,"Société_Française_105","Transport"
"464357789","SG",2024,"Joint Venture",0.4618,-107559.05,-156531.68,456840.28,"Société_Française_77","Culture"
"521138762","IT",2023,"Partenaire stratégique",0.9302,-43830.08,-28239.36,564730,"Société_Française_83","Technologie"
"744461512","ES",2025,"Maison Mère",0.2521,-154083.3,64534.64,752660.6,"Société_Française_120","Hôtellerie"
"433935973","BE",2024,"Joint Venture",0.3964,-90014.62,27777.01,268236.82,"Société_Française_134","Environnement"
"877640240","AU",2024,"Joint Venture",0.0991,-59269.72,101351.81,775586.3,"Société_Française_140","Technologie"
"433935973","DE",2023,"Succursale",0.1699,-337989.99,-46532.65,425970.86,"Société_Française_134","Environnement"
"723490657","DE",2024,"Filiale",0.2849,-68615.04,-141753.58,386701.18,"Elior","Restauration collective"
"884061319","CH",2024,"Succursale",0.9285,81544.24,-79641.53,517679.91,"Terrena","Agriculture"
"590726816","JP",2023,"Filiale",0.1019,35579.73,-96459.51,438176.23,"Veolia","Services environnementaux"
"590726816","DE",2024,"Joint Venture",0.3211,170999.83,25105.82,213850.04,"Veolia","Services environnementaux"
"474486842","HK",2024,"Maison Mère",0.5541,-123947.63,58535.15,196478.37,"Société_Française_132","Hôtellerie"
"714974780","SE",2023,"Filiale",0.6276,133564.97,117926.65,801041.42,"Société_Française_98","Culture"
"622740591","AU",2025,"Maison Mère",0.6134,33557.23,-15679.81,390134.98,"Société_Française_119","Technologie"
"744461512","ZA",2025,"Succursale",0.6795,128529.4,1006.81,120763.47,"Société_Française_120","Hôtellerie"
"393166433","GB",2024,"Succursale",0.7498,33950.33,-27925.24,852286.06,"Société_Française_144","Services"
"579634961","CN",2025,"Autre",0.6358,-15254.16,-23844.59,452814.23,"Société_Française_81","Transport"
"702662157","JP",2024,"Succursale",0.3911,27299.59,-56570.11,924150.75,"Bouygues","BTP"
"410125118","AU",2023,"Partenaire stratégique",0.6814,-108896.34,134685.95,241443.05,"Société_Française_75","Commerce"
"700998588","MX",2023,"Partenaire stratégique",0.838,173514.24,32092.64,310529.27,"Société_Française_146","Services"
"763799764","ZA",2023,"Maison Mère",0.3976,-197102.3,58105.06,770737.02,"Société_Française_92","Hôtellerie"
"765787874","SG",2025,"Maison Mère",0.1788,34010.47,138194.9,760116.93,"Valeo","Équipement automobile"
"884061319","CH",2025,"Filiale",0.7578,-179696.91,-196958.9,120852.49,"Terrena","Agriculture"
"382709835","ES",2024,"Maison Mère",0.3364,-55150.61,21850.42,81509.61,"Gameloft","Jeux vidéo"
